0001D6,manroland AG
0001D7,F5 Networks
0001D8,Teltronics
0001D9,Sigma
0001DA,WINCOMM Corporation
0001DB,Freecom Technologies GmbH
0001DC,Activetelco
0001DD,Avail Networks
0001DE,Trango Systems
0001DF,ISDN Communications
0001E0,Fast Systems
0001E1,Kinpo Electronics
0001E2,Ando Electric Corporation
0001E3,Siemens AG
0001E4,Sitera
0001E5,Supernet
0001E6,Hewlett Packard
0001E7,Hewlett Packard
0001E8,Force10 Networks
0001E9,Litton Marine Systems B.V.
0001EA,Cirilium Corp.
0001EB,C-COM Corporation
0001EC,Ericsson Group
0001ED,SETA Corp.
0001EE,Comtrol Europe
0001EF,Camtel Technology Corp.
0001F0,Tridium
0001F1,Innovative Concepts
0001F2,Mark of the Unicorn
0001F3,QPS
0001F4,Enterasys
0001F5,ERIM S.A.
0001F6,Association of Musical Electronics Industry
0001F7,Image Display Systems
0001F8,TEXIO TECHNOLOGY CORPORATION
0001F9,TeraGlobal Communications Corp.
0001FA,Compaq
0001FB,DoTop Technology
0001FC,Keyence Corporation
0001FD,Digital Voice Systems
0001FE,DIGITAL EQUIPMENT CORPORATION
0001FF,Data Direct Networks
000200,Net & Sys Co.
000201,IFM Electronic gmbh
000202,Amino Communications
000203,Woonsang Telecom
000204,Novell
000205,Hamilton (Sparc Clones)
000206,Telital R&D Denmark A/S
000207,VisionGlobal Network Corp.
000208,Unify Networks
000209,Shenzhen SED Information Technology Co.
00020A,Gefran Spa
00020B,Native Networks
00020C,Metro-Optix
00020D,Micronpc.com
00020E,ECI Telecom Ltd.
00020F,Aatr
000210,Fenecom
000211,Nature Worldwide Technology Corp.
000212,SierraCom
000213,S.D.E.L.
000214,Dtvro
000215,Cotas Computer Technology A/B
000216,ESI (Extended Systems
000217,Cisco Systems
000218,Advanced Scientific Corp
000219,Paralon Technologies
00021A,Zuma Networks
00021B,Kollmorgen-Servotronix
00021C,Network Elements
00021D,Data General Communication Ltd.
00021E,SIMTEL S.R.L.
00021F,Aculab PLC
000220,CANON FINETECH INC.
000221,DSP Application
000222,Chromisys
000223,Clicktv
000224,C-Cor
000225,One Stop Systems
000226,XESystems
000227,ESD Electronic System Design GmbH
000228,Necsom
000229,Adtec Corporation
00022A,Asound Electronic
00022B,SAXA
00022C,ABB Bomem
00022D,Agere Systems
00022E,TEAC Corp. R& D
00022F,P-Cube
000230,Intersoft Electronics
000231,Axis
000232,Avision
000233,Mantra Communications
000234,Imperial Technology
000235,Paragon Networks International
000236,INIT GmbH
000237,Cosmo Research Corp.
000238,Serome Technology
000239,Visicom
00023A,ZSK Stickmaschinen GmbH
00023B,Ericsson
00023C,Creative Technology
00023D,Cisco Systems
00023E,Selta Telematica S.p.a
00023F,COMPAL ELECTRONICS
000240,Seedek Co.
000241,Amer.com
000242,Videoframe Systems
000243,Raysis Co.
000244,SURECOM Technology Co.
000245,Lampus Co
000246,All-Win Tech Co.
000247,Great Dragon Information Technology (Group) Co.
000248,Pilz GmbH & Co.
000249,Aviv Infocom Co
00024A,Cisco Systems
00024B,Cisco Systems
00024C,SiByte
00024D,Mannesman Dematic Colby Pty. Ltd.
00024E,Datacard Group
00024F,IPM Datacom S.R.L.
000250,Geyser Networks
000251,Soma Networks
000252,Carrier Corporation
000253,Televideo
000254,WorldGate
000255,IBM Corp
000256,Alpha Processor
000257,Microcom Corp.
000258,Flying Packets Communications
000259,Tsann Kuen China (Shanghai)Enterprise Co.
00025A,Catena Networks
00025B,Cambridge Silicon Radio
00025C,SCI Systems (Kunshan) Co.
00025D,Calix Networks
00025E,High Technology Ltd
00025F,Nortel Networks
000260,Accordion Networks
000261,Tilgin AB
000262,Soyo Group Soyo Com Tech Co.
000263,UPS Manufacturing SRL
000264,AudioRamp.com
000265,Virditech Co. Ltd.
000266,Thermalogic Corporation
000267,NODE RUNNER
000268,Harris Government Communications
000269,Nadatel Co.
00026A,Cocess Telecom Co.
00026B,BCM Computers Co.
00026C,Philips CFT
00026D,Adept Telecom
00026E,NeGeN Access
00026F,Senao International Co.
000270,Crewave Co.
000271,Zhone Technologies
000272,CC&C Technologies
000273,Coriolis Networks
000274,Tommy Technologies Corp.
000275,SMART Technologies
000276,Primax Electronics Ltd.
000277,Cash Systemes Industrie
000278,SAMSUNG ELECTRO MECHANICS CO.
000279,Control Applications
00027A,IOI Technology Corporation
00027B,Amplify Net
00027C,Trilithic
00027D,Cisco Systems
00027E,Cisco Systems
00027F,ask-technologies.com
000280,Mu Net
000281,Madge Ltd.
000282,ViaClix
000283,Spectrum Controls
000284,AREVA T&D
000285,Riverstone Networks
000286,Occam Networks
000287,Adapcom
000288,Global Village (PCcard in Mac portable)
000289,DNE Technologies
00028A,Ambit Microsystems Corporation
00028B,VDSL Systems OY
00028C,Micrel-Synergy Semiconductor
00028D,Movita Technologies
00028E,Rapid 5 Networks
00028F,Globetek
000290,Woorigisool
000291,Open Network Co.
000292,Logic Innovations
000293,Solid Data Systems
000294,Tokyo Sokushin Co.
000295,IP.Access Limited
000296,Lectron Co
000297,C-COR.net
000298,Broadframe Corporation
000299,Apex
00029A,Storage Apps
00029B,Kreatel Communications AB
00029C,3com
00029D,Merix Corp.
00029E,Information Equipment Co.
00029F,L-3 Communication Aviation Recorders
0002A0,Flatstack Ltd.
0002A1,World Wide Packets
0002A2,Hilscher GmbH
0002A3,ABB Switzerland Ltd
0002A4,AddPac Technology Co.
